Name,customer_id,gender,age,city,state,pincode,occupation,employer_type,monthly_income,Loan_type,loan_account_number,loan_open_date,disbursal_date,disbursal_channel,sanction_amount,interest_rate,monthly_emi_amount,total_emi_count,emi_paid,months_past_due,dpd_days,last_payment_date,prepayment_flag,foreclosure_flag,outstanding_principal,principal_paid,interest_paid_to_date,cibil_score,total_active_loans,total_closed_loans,enquiries_last_6m,account_status,risk_grade,branch_code,ifsc_code
Arjun Naidu,CUST00493,Male,36,Jaipur,Rajasthan,210748,Professional,Government,348807,Gold Loan,LA4600880006087,2016-01-08,2016-01-08,Online,806000,10.64,27562.57,34,17,0,0,2017-05-30,False,False,433182.28,372817.72,95745.97,757,2,5,0,Current,B,BR1768,MSBK0694505
Saanvi Rao,CUST00494,Female,51,Kochi,Kerala,829332,Salaried,NA,232113,Personal Loan,LA5453922240011,2023-05-26,2023-05-26,Corporate Tie-up,2634000,18.56,95967.0,36,12,3,95,2024-05-16,False,False,1911879.71,722120.29,429483.71,711,1,3,0,NPA,D,BR6663,MSBK0183590
Ishita Mahajan,CUST00495,Male,33,Bhubaneswar,Odisha,196303,Salaried,Public Sector,244391,Education Loan,LA5384974348485,2016-07-29,2016-07-29,Online,3071000,9.79,71602.9,53,9,3,93,2017-04-21,False,False,2638127.29,432872.71,211553.39,726,5,7,0,NPA,D,BR7000,MSBK0588393
Ira Nair,CUST00496,Male,37,Coimbatore,Tamil Nadu,276429,Salaried,Government,195761,Auto Loan,LA7101835074436,2019-03-30,2019-03-30,DSA,785000,9.66,15204.67,67,27,0,0,2021-06-16,False,False,518218.68,266781.32,143744.77,778,2,6,0,Current,B,BR7147,MSBK0282338
Kabir Kaur,CUST00497,Male,68,Lucknow,Uttar Pradesh,710099,Salaried,Government,188660,Business Loan,LA1332382369122,2024-02-04,2024-02-04,DSA,5071000,16.99,106325.2,80,1,1,40,2024-03-05,False,False,5036471.7,34528.3,71796.9,770,2,3,0,SMA-1,C,BR3172,MSBK0989799
Yash Mehta,CUST00498,Female,38,Noida,Uttar Pradesh,489614,Salaried,Private,179167,Gold Loan,LA8068382823820,2022-01-12,2022-01-12,Branch,2020000,11.74,299974.13,7,1,0,0,2022-02-07,False,False,1739788.21,280211.79,19762.34,764,2,1,0,Current,B,BR1656,MSBK0711341
Vanya Pillai,CUST00499,Male,22,Mumbai,Maharashtra,443895,Self-Employed,NA,71411,Home Loan,LA1172311843353,2023-04-03,2023-04-03,Online,5495000,9.45,47371.74,312,18,0,0,2024-09-23,False,False,5416072.88,78927.12,773764.2,776,3,6,0,Current,B,BR3614,MSBK0803701
Navya Verma,CUST00500,Other,27,Jaipur,Rajasthan,248912,Salaried,NA,160917,Business Loan,LA3121154890303,2024-09-14,2024-09-14,Corporate Tie-up,18982000,15.32,427320.57,66,10,2,60,2025-07-11,False,False,17022189.73,1959810.27,2313395.43,740,0,10,0,SMA-1,C,BR2378,MSBK0326911
Kunal Chauhan,CUST00501,Female,26,Indore,Madhya Pradesh,803460,Retired,Private,42956,Auto Loan,LA9856774714357,2020-12-02,2020-12-02,Online,415000,10.81,11911.69,42,42,0,0,2024-05-15,False,False,0.0,415000.0,85290.98,734,1,2,1,Closed,B,BR7529,MSBK0322878
Aadhya Das,CUST00502,Female,63,Hyderabad,Telangana,583910,Professional,Government,158381,Auto Loan,LA2273977491077,2022-08-12,2022-08-12,Corporate Tie-up,591000,9.65,22929.37,29,9,1,33,2023-05-07,False,False,422047.23,168952.77,37411.56,739,1,2,1,SMA-1,C,BR5165,MSBK0337329
Aarav Kaur,CUST00503,Male,32,Patna,Bihar,446604,Professional,NA,205313,Personal Loan,LA3563917086118,2018-03-03,2018-03-03,Branch,1515000,13.31,42947.22,45,16,0,0,2019-06-25,False,False,1060041.85,454958.15,232197.37,749,2,6,0,Current,B,BR3644,MSBK0806257
Aditya Reddy,CUST00504,Male,68,Indore,Madhya Pradesh,140030,Self-Employed,Proprietorship,132358,Home Loan,LA9104233188735,2023-07-22,2023-07-22,Corporate Tie-up,14588000,8.22,126174.41,230,7,0,0,2024-02-16,False,False,14400454.78,187545.22,695675.65,772,1,1,1,Current,B,BR7864,MSBK0906866
Ananya Chauhan,CUST00505,Female,41,Visakhapatnam,Andhra Pradesh,258284,Self-Employed,NA,388526,Business Loan,LA1244006240409,2024-02-05,2024-02-05,DSA,9235000,17.37,733483.67,14,2,0,0,2024-04-05,False,False,8026703.7,1208296.3,258671.04,756,2,11,0,Current,B,BR2238,MSBK0104777
Aarav Thakur,CUST00506,Female,37,Chennai,Tamil Nadu,805922,Salaried,Private,37158,Home Loan,LA9283017891837,2016-07-14,2016-07-14,DSA,12646000,8.64,102095.39,310,0,2,65,,False,False,12646000.0,0.0,0.0,717,2,8,0,SMA-2,D,BR7273,MSBK0612640
Zara Aggarwal,CUST00507,Male,50,Coimbatore,Tamil Nadu,693399,Self-Employed,Proprietorship,140618,Education Loan,LA2205160773363,2023-01-16,2023-01-16,Online,1928000,13.11,27942.31,129,12,4,130,2024-01-10,False,False,1840307.94,87692.06,247615.66,698,1,2,2,NPA,D,BR4328,MSBK0151217
Arjun Banerjee,CUST00508,Female,61,Indore,Madhya Pradesh,384617,Self-Employed,NA,90193,Education Loan,LA2369723861726,2024-11-14,2024-11-14,Online,1471000,10.91,23666.06,92,13,1,37,2025-12-04,False,False,1329653.52,141346.48,166312.3,721,1,1,3,SMA-1,C,BR5783,MSBK0146819
Tara Mukherjee,CUST00509,Male,59,Bhopal,Madhya Pradesh,403072,Professional,Public Sector,289334,Personal Loan,LA5581730507586,2024-05-17,2024-05-17,Branch,619000,17.43,17744.73,49,9,0,0,2025-02-11,False,False,535480.27,83519.73,76182.84,762,3,7,1,Current,B,BR4753,MSBK0653780
Ananya Bhat,CUST00510,Female,52,Kolkata,West Bengal,224000,Self-Employed,Public Sector,132858,Home Loan,LA3446690614937,2015-05-11,2015-05-11,Online,2373000,9.79,22422.72,245,81,0,0,2021-12-31,True,False,2023385.41,349614.59,1466625.73,775,0,1,0,Current,B,BR8314,MSBK0311459
Vihaan Naidu,CUST00511,Female,54,Coimbatore,Tamil Nadu,459066,Salaried,Public Sector,49773,Business Loan,LA3021412749615,2015-04-23,2015-04-23,Corporate Tie-up,4401000,15.07,92439.21,73,68,0,0,2020-11-17,False,False,445280.56,3955719.44,2330146.84,714,2,6,3,Current,C,BR4951,MSBK0107104
Reyansh Naidu,CUST00512,Male,22,Pune,Maharashtra,179654,Self-Employed,Private,351885,Home Loan,LA9821421888968,2022-02-08,2022-02-08,Online,16477000,9.88,146847.16,314,16,1,33,2023-06-01,False,False,16286527.0,190473.0,2159081.56,746,2,0,0,SMA-1,C,BR5152,MSBK0999827
Anirudh Mahajan,CUST00513,Female,50,Jaipur,Rajasthan,239556,Salaried,NA,133183,Auto Loan,LA2131249392503,2019-12-08,2019-12-08,Corporate Tie-up,2079000,9.2,55845.91,44,21,0,0,2021-08-27,False,False,1173474.55,905525.45,267238.66,766,2,3,3,Current,B,BR5593,MSBK0906480
Sai Nair,CUST00514,Male,51,Indore,Madhya Pradesh,658076,Salaried,Government,211145,Personal Loan,LA7970122604043,2021-10-03,2021-10-03,Corporate Tie-up,2698000,11.23,71215.06,47,36,0,0,2024-09-15,False,False,741106.57,1956893.43,606848.73,748,1,7,0,Current,B,BR3120,MSBK0838782
Atharv Shetty,CUST00515,Female,65,Visakhapatnam,Andhra Pradesh,814807,Professional,NA,279466,Auto Loan,LA8940198452777,2025-02-23,2025-02-23,DSA,572000,11.52,18036.14,38,9,0,0,2025-11-20,False,False,454661.47,117338.53,44986.73,790,2,9,5,Current,B,BR4982,MSBK0586050
Krishna Shetty,CUST00516,Female,64,Pune,Maharashtra,705293,Salaried,Proprietorship,225270,Auto Loan,LA9815214563637,2016-12-06,2016-12-06,Branch,2413000,9.32,37654.95,89,12,0,0,2017-11-30,False,False,2176081.43,236918.57,214940.83,750,1,5,0,Current,B,BR3546,MSBK0390516
Jia Verma,CUST00517,Female,21,Chennai,Tamil Nadu,795810,Salaried,NA,130890,Education Loan,LA4888218314619,2015-06-30,2015-06-30,Corporate Tie-up,458000,11.25,7256.36,96,1,0,0,2015-07-29,False,False,455037.39,2962.61,4293.75,786,0,6,0,Current,B,BR4872,MSBK0453087
Aisha Mehta,CUST00518,Female,24,Visakhapatnam,Andhra Pradesh,590043,Professional,Public Sector,223880,Auto Loan,LA5693497527059,2020-06-17,2020-06-17,Online,2432000,11.49,48324.91,69,17,0,0,2021-11-07,False,False,1972125.52,459874.48,361648.99,754,1,4,1,Current,B,BR4734,MSBK0381601
Anika Das,CUST00519,Other,57,Hyderabad,Telangana,239879,Salaried,Public Sector,173974,Auto Loan,LA2639997220006,2015-11-09,2015-11-09,Corporate Tie-up,2054000,11.87,33236.8,96,82,3,90,2022-08-04,False,False,432541.84,1621458.16,1103959.44,695,2,8,0,NPA,D,BR7857,MSBK0899574
Diya Rao,CUST00520,Male,67,Lucknow,Uttar Pradesh,626710,Salaried,Government,70746,Business Loan,LA9809005912185,2023-04-30,2023-04-30,Branch,2733000,17.09,73802.12,53,24,0,0,2025-04-16,False,False,1743333.8,989666.2,781584.68,769,5,8,0,Current,B,BR1859,MSBK0299170
Ira Roy,CUST00521,Female,67,Lucknow,Uttar Pradesh,671679,Student,NA,7939,Education Loan,LA5446725750631,2019-09-04,2019-09-04,Branch,1658000,11.08,21536.26,135,75,1,37,2025-10-31,False,False,988702.6,669297.4,945922.1,737,1,7,1,SMA-1,C,BR5401,MSBK0131307
Ishita Bhat,CUST00522,Female,62,Bengaluru,Karnataka,613718,Self-Employed,Private,74270,Personal Loan,LA3941220480804,2020-06-04,2020-06-04,Corporate Tie-up,931000,19.37,79966.29,13,7,3,100,2020-12-28,False,False,453816.89,477183.11,82580.92,647,2,11,0,NPA,D,BR6434,MSBK0198000
Navya Iyer,CUST00523,Male,64,Indore,Madhya Pradesh,179438,Professional,Government,223097,Business Loan,LA1552998278025,2022-05-03,2022-05-03,Corporate Tie-up,15311000,16.81,391758.04,57,17,4,120,2023-09-21,False,False,11934706.3,3376293.7,3283592.98,692,2,9,0,NPA,D,BR4573,MSBK0404462
Tara Mukherjee,CUST00524,Male,55,Gurgaon,Haryana,552509,Salaried,Private,113854,Gold Loan,LA2496120634909,2025-05-22,2025-05-22,DSA,980000,11.27,66253.76,16,1,0,0,2025-06-18,False,False,922950.07,57049.93,9203.83,804,4,5,3,Current,A,BR9187,MSBK0618141
Jia Iyer,CUST00525,Male,54,Jaipur,Rajasthan,632915,Professional,NA,415088,Home Loan,LA5384565364508,2021-07-20,2021-07-20,DSA,5762000,8.79,50611.37,246,51,2,60,2025-09-24,False,False,5244587.27,517412.73,2063767.14,723,1,3,0,SMA-1,C,BR8724,MSBK0356414
Saanvi Mehta,CUST00526,Male,27,Bhopal,Madhya Pradesh,521975,Self-Employed,NA,49777,Auto Loan,LA4629879448867,2023-11-21,2023-11-21,Corporate Tie-up,2521000,10.57,62553.46,50,14,2,65,2025-01-09,False,False,1922624.23,598375.77,277372.67,746,3,4,0,SMA-2,D,BR1724,MSBK0733698
Ayaan Bhat,CUST00527,Female,40,New Delhi,Delhi,626250,Salaried,Proprietorship,70371,Business Loan,LA3197877275083,2020-06-28,2020-06-28,DSA,9136000,12.36,202461.03,61,60,0,0,2025-05-29,False,False,200396.94,8935603.06,3212058.74,719,3,0,0,Current,C,BR3939,MSBK0328082
Navya Chauhan,CUST00528,Female,40,Indore,Madhya Pradesh,516304,Salaried,Public Sector,81361,Business Loan,LA6008542078046,2021-09-09,2021-09-09,Online,17619000,16.39,423108.24,62,13,2,65,2022-10-02,False,False,15042531.48,2576468.52,2923938.6,718,3,7,0,SMA-2,D,BR6163,MSBK0980044
Anay Singh,CUST00529,Female,28,Ahmedabad,Gujarat,744224,Professional,Government,467011,Education Loan,LA9597329078439,2021-05-22,2021-05-22,DSA,2548000,9.16,34723.79,108,51,0,0,2025-07-26,False,False,1600007.67,947992.33,822920.96,784,1,12,0,Current,B,BR3925,MSBK0527455
Ananya Yadav,CUST00530,Female,64,Bhubaneswar,Odisha,826545,Self-Employed,Private,242554,Education Loan,LA9263889164927,2022-08-23,2022-08-23,DSA,3170000,11.81,122547.58,30,11,0,0,2023-07-17,False,False,2114219.75,1055780.25,292243.13,770,1,11,0,Current,B,BR5229,MSBK0346931
Arjun Kulkarni,CUST00531,Male,41,Lucknow,Uttar Pradesh,333900,Retired,Public Sector,76657,Personal Loan,LA2565244120115,2016-11-06,2016-11-06,Corporate Tie-up,934000,17.41,62390.4,17,1,0,0,2016-12-05,False,False,885160.38,48839.62,13550.78,768,2,4,3,Current,B,BR8887,MSBK0138633
Kabir Iyer,CUST00532,Female,39,Indore,Madhya Pradesh,165880,Self-Employed,Proprietorship,383313,Home Loan,LA7419138592090,2021-04-16,2021-04-16,Corporate Tie-up,3696000,9.31,36597.77,198,6,0,0,2021-10-11,False,False,3647530.58,48469.42,171117.2,780,2,11,2,Current,B,BR1006,MSBK0952039
Saanvi Kulkarni,CUST00533,Female,41,Chennai,Tamil Nadu,547620,Self-Employed,Government,399637,Gold Loan,LA2732205819998,2021-05-18,2021-05-18,Corporate Tie-up,507000,11.88,24756.76,23,23,2,65,2023-04-04,False,False,0.0,507000.0,62405.48,683,1,2,0,Closed,D,BR7203,MSBK0335860
Zara Kaur,CUST00534,Female,62,Hyderabad,Telangana,408858,Student,Private,4450,Gold Loan,LA6388247653193,2020-04-29,2020-04-29,DSA,1339000,7.03,74674.6,19,15,0,0,2021-07-19,False,False,294374.45,1044625.55,75493.45,722,6,0,1,Current,B,BR1788,MSBK0598914
Aarav Bhat,CUST00535,Male,48,Bhopal,Madhya Pradesh,151201,Salaried,Private,221894,Personal Loan,LA6002814798347,2024-07-26,2024-07-26,Corporate Tie-up,2993000,15.74,98530.45,39,17,2,70,2025-12-14,False,False,1872373.82,1120626.18,554391.47,721,3,4,0,SMA-2,D,BR8567,MSBK0155197
Aarohi Mahajan,CUST00536,Male,57,Bengaluru,Karnataka,539235,Salaried,Proprietorship,218978,Personal Loan,LA5789172698216,2017-08-15,2017-08-15,Corporate Tie-up,2715000,12.92,79212.37,43,23,2,65,2019-07-04,False,False,1418457.04,1296542.96,525341.55,721,1,0,0,SMA-2,D,BR3400,MSBK0175062
Navya Nair,CUST00537,Male,66,Hyderabad,Telangana,619781,Salaried,Private,37881,Gold Loan,LA7329410769428,2024-05-16,2024-05-16,Branch,724000,8.37,25322.29,32,7,0,0,2024-12-08,False,False,579089.12,144910.88,32345.15,757,0,8,3,Current,B,BR7545,MSBK0873814
Ayaan Kaur,CUST00538,Female,35,New Delhi,Delhi,170411,Salaried,Proprietorship,115927,Business Loan,LA3407717734204,2015-06-14,2015-06-14,Corporate Tie-up,2278000,17.88,208716.95,12,5,0,0,2015-11-07,False,False,1377693.89,900306.11,143278.64,729,1,6,5,Current,B,BR1969,MSBK0435188
Kunal Yadav,CUST00539,Male,36,Patna,Bihar,668389,Salaried,Proprietorship,237877,Personal Loan,LA9700031900901,2019-03-20,2019-03-20,DSA,2182000,18.65,91555.88,30,9,0,0,2019-12-14,False,False,1629755.25,552244.75,271758.17,748,3,5,0,Current,B,BR2939,MSBK0560136
Saanvi Reddy,CUST00540,Male,60,Indore,Madhya Pradesh,738644,Student,Public Sector,10866,Home Loan,LA4055536520823,2021-08-26,2021-08-26,DSA,12335000,10.42,114704.46,314,14,2,70,2022-10-20,False,False,12222446.95,112553.05,1493309.39,698,6,3,3,SMA-2,D,BR6051,MSBK0526380
Meera Yadav,CUST00541,Male,64,Kochi,Kerala,395518,Student,Government,17364,Personal Loan,LA5750603536154,2015-08-14,2015-08-14,DSA,1481000,16.08,34958.66,63,37,0,0,2018-08-26,False,False,763216.88,717783.12,575687.3,743,1,3,0,Current,B,BR9148,MSBK0946151
Ira Sharma,CUST00542,Female,40,Bhubaneswar,Odisha,629799,Salaried,NA,135331,Auto Loan,LA5984414083863,2024-03-03,2024-03-03,DSA,2352000,8.39,54986.8,51,19,0,0,2025-09-21,True,False,1571736.33,780263.67,264485.53,779,3,10,0,Current,B,BR9676,MSBK0422154
Anay Singh,CUST00543,Female,50,Bhubaneswar,Odisha,202989,Professional,Proprietorship,396693,Home Loan,LA9330280891886,2017-12-11,2017-12-11,Branch,4628000,9.45,43902.85,226,49,3,95,2021-12-15,False,False,4184176.93,443823.07,1707416.58,707,2,6,0,NPA,D,BR8767,MSBK0901838
Meera Ghosh,CUST00544,Male,43,Gurgaon,Haryana,589560,Salaried,Private,155492,Education Loan,LA7713434101637,2018-10-30,2018-10-30,Branch,1206000,13.39,17222.97,137,40,3,93,2022-02-07,False,False,1017429.81,188570.19,500348.61,718,1,9,4,NPA,D,BR2793,MSBK0898776
Meera Roy,CUST00545,Female,62,Kochi,Kerala,167454,Professional,Proprietorship,353336,Education Loan,LA7439596744202,2025-05-12,2025-05-12,DSA,1540000,11.5,42291.35,45,7,1,30,2025-12-03,False,False,1341638.52,198361.48,97677.97,776,2,2,1,SMA-0,B,BR6863,MSBK0720762
Yash Chatterjee,CUST00546,Female,33,Lucknow,Uttar Pradesh,619730,Salaried,Private,152430,Business Loan,LA2362040724998,2016-12-08,2016-12-08,DSA,16536000,15.42,280465.91,111,73,0,0,2022-12-07,False,False,8390390.75,8145609.25,12328402.18,725,1,0,1,Current,B,BR6244,MSBK0990582
Zara Khan,CUST00547,Other,46,Lucknow,Uttar Pradesh,670924,Salaried,Public Sector,127759,Personal Loan,LA5433584412782,2018-07-17,2018-07-17,Corporate Tie-up,1941000,17.35,90094.87,26,9,0,0,2019-04-10,False,False,1349318.32,591681.68,219172.15,741,1,11,1,Current,B,BR6566,MSBK0703319
Ananya Verma,CUST00548,Female,60,Visakhapatnam,Andhra Pradesh,656033,Salaried,Government,149692,Education Loan,LA1256060997934,2019-05-10,2019-05-10,Branch,1839000,14.1,54723.05,43,24,0,0,2021-04-24,False,False,927001.28,911998.72,401354.48,753,1,4,0,Current,B,BR7722,MSBK0461782
Aadhya Nair,CUST00549,Female,63,Hyderabad,Telangana,565852,Student,Proprietorship,6478,Home Loan,LA1691654084799,2025-08-29,2025-08-29,Corporate Tie-up,28230000,9.32,313864.48,155,5,0,0,2026-01-16,False,False,27749537.17,480462.83,1088859.57,761,2,11,0,Current,B,BR9650,MSBK0401658
Aarav Chauhan,CUST00550,Male,25,Chandigarh,Chandigarh,314707,Salaried,NA,244658,Business Loan,LA1164333439198,2015-02-11,2015-02-11,Corporate Tie-up,8395000,13.4,216798.1,51,19,1,40,2016-08-31,False,False,5806448.36,2588551.64,1530612.26,752,2,0,0,SMA-1,C,BR2535,MSBK0992859
Dhruv Das,CUST00551,Female,21,Patna,Bihar,859223,Self-Employed,Public Sector,371754,Education Loan,LA4556938556554,2016-01-26,2016-01-26,DSA,1695000,11.32,40786.83,53,22,0,0,2017-11-11,False,False,1091866.99,603133.01,294177.25,774,1,0,1,Current,B,BR6065,MSBK0355407
Aadhya Yadav,CUST00552,Male,43,Visakhapatnam,Andhra Pradesh,214783,Professional,Government,166048,Personal Loan,LA1784571250939,2018-09-08,2018-09-08,DSA,276000,17.23,6225.31,71,42,0,0,2022-02-15,False,False,146815.86,129184.14,132278.88,741,1,3,1,Current,B,BR3729,MSBK0202973
Meera Chatterjee,CUST00553,Male,30,Indore,Madhya Pradesh,762091,Salaried,Public Sector,219915,Auto Loan,LA4108658287643,2017-07-01,2017-07-01,DSA,2871000,8.27,54947.88,65,1,0,0,2017-07-29,False,False,2835838.09,35161.91,19785.97,763,1,4,0,Current,B,BR7303,MSBK0830624
Riya Nair,CUST00554,Female,45,Visakhapatnam,Andhra Pradesh,809836,Professional,Government,409626,Personal Loan,LA9181404535619,2024-02-27,2024-02-27,Corporate Tie-up,1370000,12.1,35570.66,49,23,0,0,2026-01-12,False,False,809975.25,560024.75,258100.43,741,1,2,0,Current,B,BR9234,MSBK0214478
Ira Kaur,CUST00555,Male,31,Hyderabad,Telangana,527922,Retired,Government,40659,Business Loan,LA5945439479612,2023-09-21,2023-09-21,Corporate Tie-up,6765000,15.85,232320.95,37,1,0,0,2023-10-19,False,False,6622033.43,142966.57,89354.38,785,2,0,2,Current,B,BR7912,MSBK0978110
Ananya Singh,CUST00556,Female,52,Bengaluru,Karnataka,302375,Salaried,NA,79257,Business Loan,LA9357744216697,2021-05-09,2021-05-09,Corporate Tie-up,3756000,16.09,68423.34,100,5,0,0,2021-10-03,False,False,3663237.35,92762.65,249354.05,749,3,8,4,Current,B,BR1828,MSBK0782905
Ishita Chatterjee,CUST00557,Female,58,Coimbatore,Tamil Nadu,565991,Self-Employed,Government,124907,Gold Loan,LA5591450504233,2021-02-05,2021-02-05,Corporate Tie-up,1674000,9.36,111696.34,16,7,0,0,2021-08-30,False,False,967157.22,706842.78,75031.6,742,1,0,0,Current,B,BR6594,MSBK0106063
Meera Shetty,CUST00558,Male,49,Bhopal,Madhya Pradesh,611134,Salaried,Government,111643,Personal Loan,LA3451391387740,2020-05-23,2020-05-23,Branch,978000,15.53,76826.46,14,7,0,0,2020-12-15,False,False,510992.71,467007.29,70777.93,750,2,8,3,Current,B,BR5298,MSBK0487105
Vanya Shetty,CUST00559,Female,62,Coimbatore,Tamil Nadu,314122,Student,Public Sector,14984,Gold Loan,LA9213913910307,2020-10-31,2020-10-31,Online,1940000,11.56,74769.3,30,4,0,0,2021-02-26,False,False,1712415.16,227584.84,71492.36,800,3,12,1,Current,A,BR4976,MSBK0941769
Tara Chatterjee,CUST00560,Female,42,Kochi,Kerala,573867,Self-Employed,Public Sector,384775,Business Loan,LA6480339637644,2015-08-26,2015-08-26,Online,15365000,16.09,508497.49,39,0,0,0,,False,False,15365000.0,0.0,0.0,758,1,11,0,Current,B,BR3847,MSBK0924296
Anika Yadav,CUST00561,Male,50,Ahmedabad,Gujarat,132080,Student,Government,13920,Business Loan,LA2899536195597,2019-10-30,2019-10-30,DSA,3539000,12.34,55271.0,105,52,2,65,2024-02-03,False,False,2249638.14,1289361.86,1584730.14,746,3,1,0,SMA-2,D,BR3264,MSBK0247135
Anirudh Singh,CUST00562,Male,54,Jaipur,Rajasthan,603222,Salaried,Government,209512,Business Loan,LA1625558540881,2020-04-06,2020-04-06,Corporate Tie-up,9476000,14.09,248012.27,51,38,2,60,2023-05-21,False,False,2974015.59,6501984.41,2922481.85,676,0,3,1,SMA-1,C,BR9738,MSBK0400650
Aisha Kulkarni,CUST00563,Female,31,Bhubaneswar,Odisha,646128,Salaried,Government,213862,Gold Loan,LA1385619781583,2023-11-26,2023-11-26,Online,2154000,10.99,100383.28,24,17,0,0,2025-04-17,True,False,677632.74,1476367.26,230148.5,775,3,7,2,Current,B,BR7200,MSBK0187631
Anay Gupta,CUST00564,Male,64,Visakhapatnam,Andhra Pradesh,813715,Salaried,Public Sector,102790,Education Loan,LA2377160290822,2015-09-11,2015-09-11,Branch,1022000,14.08,27543.09,49,41,0,0,2019-01-21,False,False,209151.3,812848.7,316417.99,722,1,2,0,Current,B,BR1804,MSBK0733446
Rohan Ghosh,CUST00565,Male,40,Hyderabad,Telangana,505867,Salaried,NA,118904,Personal Loan,LA7886228265390,2018-08-30,2018-08-30,Branch,637000,19.3,48133.94,15,11,0,0,2019-07-25,False,False,185036.4,451963.6,77509.74,730,2,7,1,Current,B,BR9186,MSBK0978703
Kunal Thakur,CUST00566,Male,60,Kochi,Kerala,331587,Salaried,NA,47120,Personal Loan,LA7505880048853,2025-02-03,2025-02-03,Branch,1574000,19.45,112472.39,16,6,3,97,2025-08-02,False,False,1030632.41,543367.59,131466.75,667,1,8,0,NPA,D,BR4926,MSBK0408359
Ira Reddy,CUST00567,Female,52,Noida,Uttar Pradesh,479142,Retired,Proprietorship,70341,Business Loan,LA6888694002639,2017-07-18,2017-07-18,Branch,10685000,12.48,283901.8,48,40,1,40,2020-10-30,False,False,2168503.6,8516496.4,2839575.6,704,2,1,2,SMA-1,C,BR3276,MSBK0757958
Anirudh Yadav,CUST00568,Female,66,Kolkata,West Bengal,127307,Student,Public Sector,16482,Education Loan,LA2815701321854,2022-10-25,2022-10-25,Online,1776000,12.75,37974.85,65,1,0,0,2022-11-20,False,False,1756895.15,19104.85,18870.0,763,2,12,1,Current,B,BR1134,MSBK0784317
Arjun Bansal,CUST00569,Male,28,Ahmedabad,Gujarat,384709,Salaried,Private,131529,Gold Loan,LA8784876553495,2025-08-28,2025-08-28,Corporate Tie-up,2454000,7.42,212812.07,12,5,0,0,2026-01-11,False,False,1453512.7,1000487.3,63573.05,793,4,6,1,Current,B,BR3915,MSBK0597025
Anirudh Rao,CUST00570,Female,50,Mumbai,Maharashtra,336395,Self-Employed,NA,107759,Auto Loan,LA5050102771921,2025-08-16,2025-08-16,Corporate Tie-up,2911000,12.39,48847.53,93,0,3,90,,False,False,2911000.0,0.0,0.0,706,5,9,3,NPA,D,BR3973,MSBK0676617
Riya Kaur,CUST00571,Other,60,Jaipur,Rajasthan,828663,Student,Government,18518,Auto Loan,LA7433050074861,2017-11-02,2017-11-02,Branch,2993000,10.55,48989.99,88,71,0,0,2023-08-31,False,False,770445.79,2222554.21,1255735.08,724,2,12,3,Current,B,BR7391,MSBK0279855
Diya Chatterjee,CUST00572,Male,62,Noida,Uttar Pradesh,719997,Student,Government,6255,Home Loan,LA4244088367678,2022-10-20,2022-10-20,Corporate Tie-up,24873000,10.08,239825.5,245,11,3,100,2023-09-14,False,False,24518546.64,354453.36,2283627.14,738,6,5,0,NPA,D,BR7725,MSBK0447927
Arjun Gupta,CUST00573,Male,60,Kolkata,West Bengal,843332,Professional,Proprietorship,277519,Education Loan,LA3365345479830,2021-06-14,2021-06-14,Corporate Tie-up,3897000,9.34,83749.45,58,24,0,0,2023-06-04,False,False,2493394.66,1403605.34,606381.46,755,3,0,3,Current,B,BR7874,MSBK0944102
Dhruv Chauhan,CUST00574,Female,37,Bengaluru,Karnataka,114446,Salaried,Public Sector,30192,Home Loan,LA6232301548538,2023-02-05,2023-02-05,Branch,6240000,9.79,62658.58,206,1,0,0,2023-03-06,False,False,6228249.42,11750.58,50908.0,778,0,3,2,Current,B,BR4728,MSBK0509224
Mira Mahajan,CUST00575,Female,58,Bhubaneswar,Odisha,395359,Professional,NA,448040,Home Loan,LA1184452413102,2021-07-24,2021-07-24,Online,5798000,8.8,51581.68,238,1,0,0,2021-08-21,False,False,5788936.99,9063.01,42518.67,776,1,11,3,Current,B,BR9525,MSBK0201433
Rohan Nair,CUST00576,Female,61,Kolkata,West Bengal,326496,Salaried,Private,165167,Gold Loan,LA1250289041615,2023-04-12,2023-04-12,Branch,1940000,9.75,185077.31,11,10,0,0,2024-02-01,False,False,183585.67,1756414.33,94358.77,737,2,10,0,Current,B,BR2141,MSBK0504726
Rudra Chatterjee,CUST00577,Male,64,Bhubaneswar,Odisha,142130,Professional,NA,100517,Education Loan,LA3832088352281,2015-05-30,2015-05-30,Online,959000,12.08,13260.05,130,117,3,90,2025-01-06,False,False,160821.2,798178.8,753247.05,669,0,1,2,NPA,D,BR5891,MSBK0481312
Ananya Yadav,CUST00578,Female,48,Gurgaon,Haryana,515572,Salaried,Proprietorship,125736,Personal Loan,LA3602581200508,2025-12-12,2025-12-12,DSA,2015000,11.04,128583.23,17,0,1,33,,False,False,2015000.0,0.0,0.0,721,1,5,4,SMA-1,C,BR1179,MSBK0258682
Zara Mehta,CUST00579,Female,44,Kolkata,West Bengal,364380,Salaried,NA,101252,Business Loan,LA1877084673317,2015-12-03,2015-12-03,DSA,13684000,16.65,239687.64,114,109,0,0,2024-11-13,False,False,1150124.53,12533875.47,13592077.29,707,1,11,2,Current,C,BR5101,MSBK0309174
